source_id,first_success_at,last_success_at,last_attempt_at,consecutive_failures,consecutive_throttled,expected_interval_h,staleness_h,gate_fail_rate_28d,attempts_28d,status
hf.papers.daily.backfill,2026-09-13T19:34:53Z,2026-09-13T20:09:39Z,2026-09-13T20:09:39Z,0,0,168,29.7,0.000,868,paused
hf.datasets.newest,2026-08-31T15:37:41Z,2026-09-15T00:54:15Z,2026-09-15T00:54:15Z,0,0,168,1.0,0.000,12,active
hf.datasets.top-downloads,2026-08-31T15:39:04Z,2026-09-15T00:54:07Z,2026-09-15T00:54:07Z,0,0,168,1.0,0.000,12,active
hf.datasets.top-likes,2026-08-31T15:39:06Z,2026-09-15T00:54:12Z,2026-09-15T00:54:12Z,0,0,168,1.0,0.000,12,active
hf.datasets.trending,2026-08-31T15:39:09Z,2026-09-15T00:54:14Z,2026-09-15T00:54:14Z,0,0,168,1.0,0.000,12,active
hf.models.newest,2026-08-31T15:39:11Z,2026-09-15T00:54:08Z,2026-09-15T00:54:08Z,0,0,168,1.0,0.000,12,active
hf.models.text-generation,2026-08-31T14:47:30Z,2026-09-15T00:54:09Z,2026-09-15T00:54:09Z,0,0,168,1.0,0.000,14,active
hf.models.top-downloads,2026-08-31T15:39:16Z,2026-09-15T00:54:10Z,2026-09-15T00:54:10Z,0,0,168,1.0,0.000,12,active
hf.models.top-likes,2026-08-31T15:39:18Z,2026-09-15T00:54:07Z,2026-09-15T00:54:07Z,0,0,168,1.0,0.000,12,active
hf.models.trending,2026-08-31T15:39:21Z,2026-09-15T00:54:14Z,2026-09-15T00:54:14Z,0,0,168,1.0,0.000,12,active
hf.papers.daily,2026-08-31T15:39:23Z,2026-09-15T00:54:17Z,2026-09-15T00:54:17Z,0,0,168,1.0,0.000,12,active
